document_id,title,category,source_type,artifact_path,author_person_id,owner_team_id,created_date,last_updated_date,effective_date,version,status,superseded_by,product_tags,system_tags,region,access_classification,intended_audience
DOC-0011,Collections 4.2 Security Review,policy,pptx,documents/DOC-0011_collections_4_2_security_review.pptx,PER-011,TEAM-011,2025-11-14,2025-11-17,2025-11-17,4.5,reviewed,,PRD-001,SYS-011,EU,confidential,leadership
DOC-0012,Product Feedback Prioritization,architecture,docx,documents/DOC-0012_product_feedback_prioritization.docx,PER-012,TEAM-012,2025-11-18,2025-11-22,2025-11-22,1.0,authoritative,,PRD-001|PRD-003,SYS-012,GLOBAL,internal,engineering
DOC-0013,Feedback Taxonomy Guide,runbook,pdf,documents/DOC-0013_feedback_taxonomy_guide.pdf,PER-013,TEAM-001,2025-11-22,2025-11-27,2025-11-27,2.1,authoritative,,PRD-001,SYS-001,US,internal,product
DOC-0014,Research Source Attribution,release_note,pptx,documents/DOC-0014_research_source_attribution.pptx,PER-014,TEAM-002,2025-11-26,2025-12-02,2025-12-02,3.2,authoritative,,PRD-001,SYS-002,UK,internal,operations
DOC-0015,Competitive Research Confidence Scale,meeting_note,docx,documents/DOC-0015_competitive_research_confidence_scale.docx,PER-015,TEAM-003,2025-11-30,2025-12-07,2025-12-07,4.3,authoritative,,PRD-001,SYS-003,EU,internal,leadership
DOC-0016,AI-Assisted Decision Review,support_article,pdf,documents/DOC-0016_ai_assisted_decision_review.pdf,PER-016,TEAM-004,2025-12-04,2025-12-12,2025-12-12,1.4,authoritative,,PRD-001|PRD-003,SYS-004,GLOBAL,internal,engineering
DOC-0017,Collections 4.2 Financial Assumptions,research_note,pptx,documents/DOC-0017_collections_4_2_financial_assumptions.pptx,PER-017,TEAM-005,2025-12-08,2025-12-17,2025-12-17,2.5,authoritative,,PRD-001,SYS-005,US,internal,product
DOC-0018,Financial Model Verification,decision_record,docx,documents/DOC-0018_financial_model_verification.docx,PER-018,TEAM-006,2025-12-12,2025-12-13,2025-12-13,3.0,authoritative,,PRD-001,SYS-006,UK,restricted,operations
DOC-0019,Operations Exception Escalation,playbook,pdf,documents/DOC-0019_operations_exception_escalation.pdf,PER-019,TEAM-007,2025-12-16,2025-12-18,2025-12-18,4.1,authoritative,,PRD-001,SYS-007,EU,internal,leadership
DOC-0020,Vendor and Tool Onboarding,faq,pptx,documents/DOC-0020_vendor_and_tool_onboarding.pptx,PER-020,TEAM-008,2025-12-20,2025-12-23,2025-12-23,1.2,authoritative,,PRD-001|PRD-003,SYS-008,GLOBAL,internal,engineering
DOC-0021,Collections 4.2 Policy 21,policy,docx,documents/DOC-0021_collections_4_2_policy_21.docx,PER-021,TEAM-009,2025-12-24,2025-12-28,2025-12-28,2.3,draft,,PRD-001,SYS-009,US,internal,product
DOC-0022,Collections 4.2 Architecture 22,architecture,docx,documents/DOC-0022_collections_4_2_architecture_22.docx,PER-022,TEAM-010,2025-12-28,2026-01-02,2026-01-02,3.4,authoritative,,PRD-001,SYS-010,UK,internal,operations
DOC-0023,Collections 4.2 Runbook 23,runbook,pptx,documents/DOC-0023_collections_4_2_runbook_23.pptx,PER-023,TEAM-011,2026-01-01,2026-01-07,2026-01-07,4.5,authoritative,,PRD-001,SYS-011,EU,internal,leadership
DOC-0024,Collections 4.2 Release Note 24,release_note,docx,documents/DOC-0024_collections_4_2_release_note_24.docx,PER-024,TEAM-012,2026-01-05,2026-01-12,2026-01-12,1.0,authoritative,,PRD-001|PRD-003,SYS-012,GLOBAL,internal,engineering
DOC-0025,Collections 4.2 Meeting Note 25,meeting_note,pdf,documents/DOC-0025_collections_4_2_meeting_note_25.pdf,PER-025,TEAM-001,2026-01-09,2026-01-17,2026-01-17,2.1,authoritative,,PRD-001,SYS-001,US,internal,product
DOC-0026,Collections 4.2 Support Article 26,support_article,pptx,documents/DOC-0026_collections_4_2_support_article_26.pptx,PER-026,TEAM-002,2026-01-13,2026-01-22,2026-01-22,3.2,authoritative,,PRD-001,SYS-002,UK,internal,operations
DOC-0027,Collections 4.2 Research Note 27,research_note,docx,documents/DOC-0027_collections_4_2_research_note_27.docx,PER-027,TEAM-003,2026-01-17,2026-01-18,2026-01-18,4.3,reviewed,,PRD-001,SYS-003,EU,internal,leadership
DOC-0028,Collections 4.2 Decision Record 28,decision_record,pdf,documents/DOC-0028_collections_4_2_decision_record_28.pdf,PER-028,TEAM-004,2026-01-21,2026-01-23,2026-01-23,1.4,authoritative,,PRD-001|PRD-003,SYS-004,GLOBAL,internal,engineering
DOC-0029,Collections 4.2 Playbook 29,playbook,pptx,documents/DOC-0029_collections_4_2_playbook_29.pptx,PER-029,TEAM-005,2026-01-25,2026-01-28,2026-01-28,2.5,authoritative,,PRD-001,SYS-005,US,confidential,product
DOC-0030,Collections 4.2 Faq 30,faq,docx,documents/DOC-0030_collections_4_2_faq_30.docx,PER-030,TEAM-006,2026-01-29,2026-02-02,2026-02-02,3.0,authoritative,,PRD-001,SYS-006,UK,internal,operations
DOC-0031,Collections 4.2 Policy 31,policy,pdf,documents/DOC-0031_collections_4_2_policy_31.pdf,PER-031,TEAM-007,2026-02-02,2026-02-07,2026-02-07,4.1,draft,,PRD-001,SYS-007,EU,internal,leadership
DOC-0032,Collections 4.2 Architecture 32,architecture,docx,documents/DOC-0032_collections_4_2_architecture_32.docx,PER-032,TEAM-008,2026-02-06,2026-02-12,2026-02-12,1.2,authoritative,,PRD-001|PRD-003,SYS-008,GLOBAL,internal,engineering
DOC-0033,Collections 4.2 Runbook 33,runbook,docx,documents/DOC-0033_collections_4_2_runbook_33.docx,PER-033,TEAM-009,2026-02-10,2026-02-17,2026-02-17,2.3,authoritative,,PRD-001,SYS-009,US,internal,product
DOC-0034,Collections 4.2 Release Note 34,release_note,pdf,documents/DOC-0034_collections_4_2_release_note_34.pdf,PER-034,TEAM-010,2026-02-14,2026-02-22,2026-02-22,3.4,authoritative,,PRD-001,SYS-010,UK,restricted,operations
DOC-0035,Collections 4.2 Meeting Note 35,meeting_note,pptx,documents/DOC-0035_collections_4_2_meeting_note_35.pptx,PER-035,TEAM-011,2026-02-18,2026-02-27,2026-02-27,4.5,authoritative,,PRD-001,SYS-011,EU,internal,leadership
DOC-0036,Collections 4.2 Support Article 36,support_article,docx,documents/DOC-0036_collections_4_2_support_article_36.docx,PER-036,TEAM-012,2026-02-22,2026-02-23,2026-02-23,1.0,authoritative,,PRD-001|PRD-003,SYS-012,GLOBAL,internal,engineering
DOC-0037,Collections 4.2 Research Note 37,research_note,pdf,documents/DOC-0037_collections_4_2_research_note_37.pdf,PER-001,TEAM-001,2026-02-26,2026-02-28,2026-02-28,2.1,authoritative,,PRD-001,SYS-001,US,internal,product
DOC-0038,Collections 4.2 Decision Record 38,decision_record,pptx,documents/DOC-0038_collections_4_2_decision_record_38.pptx,PER-002,TEAM-002,2026-03-02,2026-03-05,2026-03-05,3.2,reviewed,,PRD-001,SYS-002,UK,internal,operations
DOC-0039,Collections 4.2 Playbook 39,playbook,docx,documents/DOC-0039_collections_4_2_playbook_39.docx,PER-003,TEAM-003,2026-03-06,2026-03-10,2026-03-10,4.3,authoritative,,PRD-001,SYS-003,EU,internal,leadership
DOC-0040,Collections 4.2 Faq 40,faq,pdf,documents/DOC-0040_collections_4_2_faq_40.pdf,PER-004,TEAM-004,2026-03-10,2026-03-15,2026-03-15,1.4,authoritative,,PRD-001|PRD-003,SYS-004,GLOBAL,internal,engineering
DOC-0041,Collections 4.2 Policy 41,policy,pptx,documents/DOC-0041_collections_4_2_policy_41.pptx,PER-005,TEAM-005,2026-03-14,2026-03-20,2026-03-20,2.5,draft,,PRD-001,SYS-005,US,internal,product
DOC-0042,Collections 4.2 Architecture 42,architecture,docx,documents/DOC-0042_collections_4_2_architecture_42.docx,PER-006,TEAM-006,2026-03-18,2026-03-25,2026-03-25,3.0,authoritative,,PRD-001,SYS-006,UK,internal,operations
DOC-0043,Collections 4.2 Runbook 43,runbook,pdf,documents/DOC-0043_collections_4_2_runbook_43.pdf,PER-007,TEAM-007,2026-03-22,2026-03-30,2026-03-30,4.1,authoritative,,PRD-001,SYS-007,EU,internal,leadership
DOC-0044,Collections 4.2 Release Note 44,release_note,pptx,documents/DOC-0044_collections_4_2_release_note_44.pptx,PER-008,TEAM-008,2026-03-26,2026-04-04,2026-04-04,1.2,authoritative,,PRD-001|PRD-003,SYS-008,GLOBAL,internal,engineering
DOC-0045,Collections 4.2 Meeting Note 45,meeting_note,docx,documents/DOC-0045_collections_4_2_meeting_note_45.docx,PER-009,TEAM-009,2026-03-30,2026-03-31,2026-03-31,2.3,authoritative,,PRD-001,SYS-009,US,internal,product
DOC-0046,Collections 4.2 Support Article 46,support_article,pdf,documents/DOC-0046_collections_4_2_support_article_46.pdf,PER-010,TEAM-010,2026-04-03,2026-04-05,2026-04-05,3.4,authoritative,,PRD-001,SYS-010,UK,internal,operations
DOC-0047,Collections 4.2 Research Note 47,research_note,pptx,documents/DOC-0047_collections_4_2_research_note_47.pptx,PER-011,TEAM-011,2026-04-07,2026-04-10,2026-04-10,4.5,authoritative,,PRD-001,SYS-011,EU,internal,leadership
DOC-0048,Collections 4.2 Decision Record 48,decision_record,docx,documents/DOC-0048_collections_4_2_decision_record_48.docx,PER-012,TEAM-012,2026-04-11,2026-04-15,2026-04-15,1.0,authoritative,,PRD-001|PRD-003,SYS-012,GLOBAL,internal,engineering
DOC-0049,Collections 4.2 Playbook 49,playbook,pdf,documents/DOC-0049_collections_4_2_playbook_49.pdf,PER-013,TEAM-001,2026-04-15,2026-04-20,2026-04-20,2.1,authoritative,,PRD-001,SYS-001,US,internal,product
DOC-0050,Collections 4.2 Faq 50,faq,pptx,documents/DOC-0050_collections_4_2_faq_50.pptx,PER-014,TEAM-002,2026-04-19,2026-04-25,2026-04-25,3.2,authoritative,,PRD-001,SYS-002,UK,internal,operations
DOC-0051,Collections 4.2 Policy 51,policy,docx,documents/DOC-0051_collections_4_2_policy_51.docx,PER-015,TEAM-003,2026-04-23,2026-04-30,2026-04-30,4.3,draft,,PRD-001,SYS-003,EU,internal,leadership
DOC-0052,Collections 4.2 Architecture 52,architecture,docx,documents/DOC-0052_collections_4_2_architecture_52.docx,PER-016,TEAM-004,2026-04-27,2026-05-05,2026-05-05,1.4,authoritative,,PRD-001|PRD-003,SYS-004,GLOBAL,internal,engineering
DOC-0053,Collections 4.2 Runbook 53,runbook,pptx,documents/DOC-0053_collections_4_2_runbook_53.pptx,PER-017,TEAM-005,2026-05-01,2026-05-10,2026-05-10,2.5,authoritative,,PRD-001,SYS-005,US,internal,product
DOC-0054,Collections 4.2 Release Note 54,release_note,docx,documents/DOC-0054_collections_4_2_release_note_54.docx,PER-018,TEAM-006,2026-05-05,2026-05-06,2026-05-06,3.0,authoritative,,PRD-001,SYS-006,UK,internal,operations
DOC-0055,Collections 4.2 Meeting Note 55,meeting_note,pdf,documents/DOC-0055_collections_4_2_meeting_note_55.pdf,PER-019,TEAM-007,2026-05-09,2026-05-11,2026-05-11,4.1,authoritative,,PRD-001,SYS-007,EU,internal,leadership
DOC-0056,Collections 4.2 Support Article 56,support_article,pptx,documents/DOC-0056_collections_4_2_support_article_56.pptx,PER-020,TEAM-008,2026-05-13,2026-05-16,2026-05-16,1.2,authoritative,,PRD-001|PRD-003,SYS-008,GLOBAL,internal,engineering
DOC-0057,Collections 4.2 Research Note 57,research_note,docx,documents/DOC-0057_collections_4_2_research_note_57.docx,PER-021,TEAM-009,2026-05-17,2026-05-21,2026-05-21,2.3,authoritative,,PRD-001,SYS-009,US,internal,product
DOC-0058,Collections 4.2 Decision Record 58,decision_record,pdf,documents/DOC-0058_collections_4_2_decision_record_58.pdf,PER-022,TEAM-010,2026-05-21,2026-05-26,2026-05-26,3.4,authoritative,,PRD-001,SYS-010,UK,internal,operations
DOC-0059,Collections 4.2 Playbook 59,playbook,pptx,documents/DOC-0059_collections_4_2_playbook_59.pptx,PER-023,TEAM-011,2026-05-25,2026-05-31,2026-05-31,4.5,authoritative,,PRD-001,SYS-011,EU,internal,leadership
DOC-0060,Collections 4.2 Faq 60,faq,docx,documents/DOC-0060_collections_4_2_faq_60.docx,PER-024,TEAM-012,2026-05-29,2026-06-05,2026-06-05,1.0,authoritative,,PRD-001|PRD-003,SYS-012,GLOBAL,internal,engineering
