feedback_id,source_type,source_artifact,submitted_at,customer_id,segment,region,product_id,feedback_text,expected_theme_id,duplicate_of,urgency,human_review_status
FBK-0034,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-11T07:00:00Z,CUST-006,Strategic,UK,PRD-002,Usage dashboards should exclude suspended tenants by default. This blocks our October rollout.,THM-004,,medium,pending
FBK-0035,sales_call,source_artifacts/sales_calls/CALL-003.docx,2026-08-11T14:00:00Z,CUST-007,Growth,EU,PRD-003,Product and Security need one shared release checkpoint view.,THM-005,,high,pending
FBK-0036,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-11T21:00:00Z,CUST-008,Public Sector,US,PRD-001,Account teams need advance notice when customers near usage limits.,THM-006,,low,reviewed
FBK-0037,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-12T04:00:00Z,CUST-009,Enterprise,UK,PRD-001,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0038,sales_call,source_artifacts/sales_calls/CALL-004.docx,2026-08-12T11:00:00Z,CUST-010,Strategic,EU,PRD-002,Keyboard navigation in the policy editor skips conditional fields.,THM-002,,high,pending
FBK-0039,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-12T18:00:00Z,CUST-011,Growth,US,PRD-003,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0040,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-13T01:00:00Z,CUST-012,Public Sector,UK,PRD-001,Audit exports should include the human approver and policy version.,THM-004,FBK-0034,medium,pending
FBK-0041,sales_call,source_artifacts/sales_calls/CALL-004.docx,2026-08-13T08:00:00Z,CUST-013,Enterprise,EU,PRD-001,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0042,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-13T15:00:00Z,CUST-014,Strategic,US,PRD-002,Customers cannot predict which usage tier fits seasonal volume.,THM-006,,low,pending
FBK-0043,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-13T22:00:00Z,CUST-001,Growth,UK,PRD-003,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0044,sales_call,source_artifacts/sales_calls/CALL-004.docx,2026-08-14T05:00:00Z,CUST-002,Public Sector,EU,PRD-001,Administrators want bulk policy editing with a safe preview.,THM-002,,high,pending
FBK-0045,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-14T12:00:00Z,CUST-003,Enterprise,US,PRD-001,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0046,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-14T19:00:00Z,CUST-004,Strategic,UK,PRD-002,Leadership needs a weekly reliability view by region.,THM-004,,medium,pending
FBK-0047,sales_call,source_artifacts/sales_calls/CALL-004.docx,2026-08-15T02:00:00Z,CUST-005,Growth,EU,PRD-003,Approval reminders should respect local working hours.,THM-005,,high,pending
FBK-0048,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-15T09:00:00Z,CUST-006,Public Sector,US,PRD-001,Procurement wants a clearer enterprise feature comparison.,THM-006,,low,pending
FBK-0049,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-15T16:00:00Z,CUST-007,Enterprise,UK,PRD-001,The retry queue should preserve the original execution context.,THM-001,,medium,pending
FBK-0050,sales_call,source_artifacts/sales_calls/CALL-005.docx,2026-08-15T23:00:00Z,CUST-008,Strategic,EU,PRD-002,The settings hierarchy is difficult for new account administrators.,THM-002,FBK-0044,high,pending
FBK-0051,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-16T06:00:00Z,CUST-009,Growth,US,PRD-003,Customers want documented examples for the approvals API. This blocks our October rollout.,THM-003,,low,pending
FBK-0052,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-16T13:00:00Z,CUST-010,Public Sector,UK,PRD-001,Usage dashboards should exclude suspended tenants by default.,THM-004,,medium,pending
FBK-0053,sales_call,source_artifacts/sales_calls/CALL-005.docx,2026-08-16T20:00:00Z,CUST-011,Enterprise,EU,PRD-001,Product and Security need one shared release checkpoint view.,THM-005,,high,pending
FBK-0054,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-17T03:00:00Z,CUST-012,Strategic,US,PRD-002,Account teams need advance notice when customers near usage limits.,THM-006,,low,reviewed
FBK-0055,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-17T10:00:00Z,CUST-013,Growth,UK,PRD-003,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0056,sales_call,source_artifacts/sales_calls/CALL-005.docx,2026-08-17T17:00:00Z,CUST-014,Public Sector,EU,PRD-001,Keyboard navigation in the policy editor skips conditional fields.,THM-002,,high,pending
FBK-0057,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-18T00:00:00Z,CUST-001,Enterprise,US,PRD-001,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0058,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-18T07:00:00Z,CUST-002,Strategic,UK,PRD-002,Audit exports should include the human approver and policy version.,THM-004,,medium,pending
FBK-0059,sales_call,source_artifacts/sales_calls/CALL-005.docx,2026-08-18T14:00:00Z,CUST-003,Growth,EU,PRD-003,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0060,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-18T21:00:00Z,CUST-004,Public Sector,US,PRD-001,Customers cannot predict which usage tier fits seasonal volume.,THM-006,FBK-0054,low,pending
FBK-0061,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-19T04:00:00Z,CUST-005,Enterprise,UK,PRD-001,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0062,sales_call,source_artifacts/sales_calls/CALL-006.docx,2026-08-19T11:00:00Z,CUST-006,Strategic,EU,PRD-002,Administrators want bulk policy editing with a safe preview.,THM-002,,high,pending
FBK-0063,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-19T18:00:00Z,CUST-007,Growth,US,PRD-003,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0064,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-20T01:00:00Z,CUST-008,Public Sector,UK,PRD-001,Leadership needs a weekly reliability view by region.,THM-004,,medium,pending
FBK-0065,sales_call,source_artifacts/sales_calls/CALL-006.docx,2026-08-20T08:00:00Z,CUST-009,Enterprise,EU,PRD-001,Approval reminders should respect local working hours.,THM-005,,high,pending
FBK-0066,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-20T15:00:00Z,CUST-010,Strategic,US,PRD-002,Procurement wants a clearer enterprise feature comparison.,THM-006,,low,pending
FBK-0067,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-20T22:00:00Z,CUST-011,Growth,UK,PRD-003,The retry queue should preserve the original execution context.,THM-001,,medium,pending
FBK-0068,sales_call,source_artifacts/sales_calls/CALL-006.docx,2026-08-21T05:00:00Z,CUST-012,Public Sector,EU,PRD-001,The settings hierarchy is difficult for new account administrators. This blocks our October rollout.,THM-002,,high,pending
FBK-0069,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-21T12:00:00Z,CUST-013,Enterprise,US,PRD-001,Customers want documented examples for the approvals API.,THM-003,,low,pending
FBK-0070,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-21T19:00:00Z,CUST-014,Strategic,UK,PRD-002,Usage dashboards should exclude suspended tenants by default.,THM-004,FBK-0064,medium,pending
FBK-0071,sales_call,source_artifacts/sales_calls/CALL-006.docx,2026-08-22T02:00:00Z,CUST-001,Growth,EU,PRD-003,Product and Security need one shared release checkpoint view.,THM-005,,high,pending
FBK-0072,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-22T09:00:00Z,CUST-002,Public Sector,US,PRD-001,Account teams need advance notice when customers near usage limits.,THM-006,,low,reviewed
FBK-0073,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-22T16:00:00Z,CUST-003,Enterprise,UK,PRD-001,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0074,sales_call,source_artifacts/sales_calls/CALL-007.docx,2026-08-22T23:00:00Z,CUST-004,Strategic,EU,PRD-002,Keyboard navigation in the policy editor skips conditional fields.,THM-002,,high,pending
FBK-0075,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-23T06:00:00Z,CUST-005,Growth,US,PRD-003,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0076,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-23T13:00:00Z,CUST-006,Public Sector,UK,PRD-001,Audit exports should include the human approver and policy version.,THM-004,,medium,pending
FBK-0077,sales_call,source_artifacts/sales_calls/CALL-007.docx,2026-08-23T20:00:00Z,CUST-007,Enterprise,EU,PRD-001,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0078,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-24T03:00:00Z,CUST-008,Strategic,US,PRD-002,Customers cannot predict which usage tier fits seasonal volume.,THM-006,,low,pending
FBK-0079,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-24T10:00:00Z,CUST-009,Growth,UK,PRD-003,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0080,sales_call,source_artifacts/sales_calls/CALL-007.docx,2026-08-24T17:00:00Z,CUST-010,Public Sector,EU,PRD-001,Administrators want bulk policy editing with a safe preview.,THM-002,FBK-0074,high,pending
FBK-0081,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-25T00:00:00Z,CUST-011,Enterprise,US,PRD-001,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0082,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-25T07:00:00Z,CUST-012,Strategic,UK,PRD-002,Leadership needs a weekly reliability view by region.,THM-004,,medium,pending
FBK-0083,sales_call,source_artifacts/sales_calls/CALL-007.docx,2026-08-25T14:00:00Z,CUST-013,Growth,EU,PRD-003,Approval reminders should respect local working hours.,THM-005,,high,pending
FBK-0084,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-25T21:00:00Z,CUST-014,Public Sector,US,PRD-001,Procurement wants a clearer enterprise feature comparison.,THM-006,,low,pending
FBK-0085,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-26T04:00:00Z,CUST-001,Enterprise,UK,PRD-001,The retry queue should preserve the original execution context. This blocks our October rollout.,THM-001,,medium,pending
FBK-0086,sales_call,source_artifacts/sales_calls/CALL-008.docx,2026-08-26T11:00:00Z,CUST-002,Strategic,EU,PRD-002,The settings hierarchy is difficult for new account administrators.,THM-002,,high,pending
FBK-0087,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-26T18:00:00Z,CUST-003,Growth,US,PRD-003,Customers want documented examples for the approvals API.,THM-003,,low,pending
FBK-0088,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-27T01:00:00Z,CUST-004,Public Sector,UK,PRD-001,Usage dashboards should exclude suspended tenants by default.,THM-004,,medium,pending
FBK-0089,sales_call,source_artifacts/sales_calls/CALL-008.docx,2026-08-27T08:00:00Z,CUST-005,Enterprise,EU,PRD-001,Product and Security need one shared release checkpoint view.,THM-005,,high,pending
FBK-0090,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-27T15:00:00Z,CUST-006,Strategic,US,PRD-002,Account teams need advance notice when customers near usage limits.,THM-006,FBK-0084,low,reviewed
FBK-0091,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-27T22:00:00Z,CUST-007,Growth,UK,PRD-003,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0092,sales_call,source_artifacts/sales_calls/CALL-008.docx,2026-08-28T05:00:00Z,CUST-008,Public Sector,EU,PRD-001,Keyboard navigation in the policy editor skips conditional fields.,THM-002,,high,pending
FBK-0093,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-28T12:00:00Z,CUST-009,Enterprise,US,PRD-001,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0094,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-28T19:00:00Z,CUST-010,Strategic,UK,PRD-002,Audit exports should include the human approver and policy version.,THM-004,,medium,pending
FBK-0095,sales_call,source_artifacts/sales_calls/CALL-008.docx,2026-08-29T02:00:00Z,CUST-011,Growth,EU,PRD-003,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0096,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-29T09:00:00Z,CUST-012,Public Sector,US,PRD-001,Customers cannot predict which usage tier fits seasonal volume.,THM-006,,low,pending
FBK-0097,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-29T16:00:00Z,CUST-013,Enterprise,UK,PRD-001,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0098,sales_call,source_artifacts/sales_calls/CALL-009.docx,2026-08-29T23:00:00Z,CUST-014,Strategic,EU,PRD-002,Administrators want bulk policy editing with a safe preview.,THM-002,,high,pending
FBK-0099,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-30T06:00:00Z,CUST-001,Growth,US,PRD-003,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0100,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-30T13:00:00Z,CUST-002,Public Sector,UK,PRD-001,Leadership needs a weekly reliability view by region.,THM-004,FBK-0094,medium,pending
FBK-0101,sales_call,source_artifacts/sales_calls/CALL-009.docx,2026-08-30T20:00:00Z,CUST-003,Enterprise,EU,PRD-001,Approval reminders should respect local working hours.,THM-005,,high,pending
FBK-0102,survey,source_artifacts/customer_survey_responses.xlsx,2026-08-31T03:00:00Z,CUST-004,Strategic,US,PRD-002,Procurement wants a clearer enterprise feature comparison. This blocks our October rollout.,THM-006,,low,pending
FBK-0103,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-08-31T10:00:00Z,CUST-005,Growth,UK,PRD-003,The retry queue should preserve the original execution context.,THM-001,,medium,pending
FBK-0104,sales_call,source_artifacts/sales_calls/CALL-009.docx,2026-08-31T17:00:00Z,CUST-006,Public Sector,EU,PRD-001,The settings hierarchy is difficult for new account administrators.,THM-002,,high,pending
FBK-0105,survey,source_artifacts/customer_survey_responses.xlsx,2026-09-01T00:00:00Z,CUST-007,Enterprise,US,PRD-001,Customers want documented examples for the approvals API.,THM-003,,low,pending
FBK-0106,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-09-01T07:00:00Z,CUST-008,Strategic,UK,PRD-002,Usage dashboards should exclude suspended tenants by default.,THM-004,,medium,pending
FBK-0107,sales_call,source_artifacts/sales_calls/CALL-009.docx,2026-09-01T14:00:00Z,CUST-009,Growth,EU,PRD-003,Product and Security need one shared release checkpoint view.,THM-005,,high,pending
FBK-0108,survey,source_artifacts/customer_survey_responses.xlsx,2026-09-01T21:00:00Z,CUST-010,Public Sector,US,PRD-001,Account teams need advance notice when customers near usage limits.,THM-006,,low,reviewed
FBK-0109,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-09-02T04:00:00Z,CUST-011,Enterprise,UK,PRD-001,Workflow retries are difficult to diagnose after a regional timeout.,THM-001,,medium,pending
FBK-0110,sales_call,source_artifacts/sales_calls/CALL-010.docx,2026-09-02T11:00:00Z,CUST-012,Strategic,EU,PRD-002,Keyboard navigation in the policy editor skips conditional fields.,THM-002,FBK-0104,high,pending
FBK-0111,survey,source_artifacts/customer_survey_responses.xlsx,2026-09-02T18:00:00Z,CUST-013,Growth,US,PRD-003,A native connector for the service desk would remove manual exports.,THM-003,,low,pending
FBK-0112,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-09-03T01:00:00Z,CUST-014,Public Sector,UK,PRD-001,Audit exports should include the human approver and policy version.,THM-004,,medium,pending
FBK-0113,sales_call,source_artifacts/sales_calls/CALL-010.docx,2026-09-03T08:00:00Z,CUST-001,Enterprise,EU,PRD-001,Reviewers need threaded comments on proposed workflow changes.,THM-005,,high,pending
FBK-0114,survey,source_artifacts/customer_survey_responses.xlsx,2026-09-03T15:00:00Z,CUST-002,Strategic,US,PRD-002,Customers cannot predict which usage tier fits seasonal volume.,THM-006,,low,pending
FBK-0115,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-09-03T22:00:00Z,CUST-003,Growth,UK,PRD-003,Customers need clearer failure reasons when a Collections job stops.,THM-001,,medium,pending
FBK-0116,sales_call,source_artifacts/sales_calls/CALL-010.docx,2026-09-04T05:00:00Z,CUST-004,Public Sector,EU,PRD-001,Administrators want bulk policy editing with a safe preview.,THM-002,,high,pending
FBK-0117,survey,source_artifacts/customer_survey_responses.xlsx,2026-09-04T12:00:00Z,CUST-005,Enterprise,US,PRD-001,Webhook delivery needs replay controls and better error details.,THM-003,,low,reviewed
FBK-0118,support_ticket,source_artifacts/support_feedback_export.xlsx,2026-09-04T19:00:00Z,CUST-006,Strategic,UK,PRD-002,Leadership needs a weekly reliability view by region.,THM-004,,medium,pending
FBK-0119,sales_call,source_artifacts/sales_calls/CALL-010.docx,2026-09-05T02:00:00Z,CUST-007,Growth,EU,PRD-003,Approval reminders should respect local working hours. This blocks our October rollout.,THM-005,,high,pending
FBK-0120,survey,source_artifacts/customer_survey_responses.xlsx,2026-09-05T09:00:00Z,CUST-008,Public Sector,US,PRD-001,Procurement wants a clearer enterprise feature comparison.,THM-006,FBK-0114,low,pending
